Cell Line HMS LINCS ID,Cell Line Name,Protein HMS LINCS ID,Protein Name,Image,Protein Ligand Concentration,Conc unit,Time,Time unit,Measured Protein,Measured Protein Value
50576-2,184B5,200854,INS,46020,100,ng/ml,30,minute,pJnk,64.002
50576-2,184B5,200854,INS,46008,1,ng/ml,90,minute,pJnk,71.508
50576-2,184B5,200854,INS,45808,100,ng/ml,90,minute,pJnk,61.936
50576-2,184B5,200854,INS,45723,1,ng/ml,10,minute,pP38,205.354
50576-2,184B5,200854,INS,45567,100,ng/ml,10,minute,pP38,214.903
50576-2,184B5,200854,INS,45575,1,ng/ml,30,minute,pP38,207.808
50576-2,184B5,200854,INS,45415,100,ng/ml,30,minute,pP38,203.492
50576-2,184B5,200854,INS,45475,1,ng/ml,90,minute,pP38,203.857
50576-2,184B5,200854,INS,45527,100,ng/ml,90,minute,pP38,207.091
50576-2,184B5,200862,NGF-beta,45343,1,ng/ml,10,minute,pAkt,404.175
50576-2,184B5,200862,NGF-beta,45224,100,ng/ml,10,minute,pAkt,437.308
50576-2,184B5,200862,NGF-beta,44996,1,ng/ml,30,minute,pAkt,375.746
50576-2,184B5,200862,NGF-beta,45148,100,ng/ml,30,minute,pAkt,391.736
50576-2,184B5,200862,NGF-beta,45236,1,ng/ml,90,minute,pAkt,508.483
50576-2,184B5,200862,NGF-beta,45152,100,ng/ml,90,minute,pAkt,431.189
50576-2,184B5,200862,NGF-beta,44779,1,ng/ml,10,minute,pErk,999.919
50576-2,184B5,200862,NGF-beta,44612,100,ng/ml,10,minute,pErk,1379.970
50576-2,184B5,200862,NGF-beta,44907,1,ng/ml,30,minute,pErk,1129.413
50576-2,184B5,200862,NGF-beta,44763,100,ng/ml,30,minute,pErk,1292.934
50576-2,184B5,200862,NGF-beta,44859,1,ng/ml,90,minute,pErk,1330.536
50576-2,184B5,200862,NGF-beta,44795,100,ng/ml,90,minute,pErk,1401.590
50576-2,184B5,200862,NGF-beta,45948,1,ng/ml,10,minute,pJnk,60.964
50576-2,184B5,200862,NGF-beta,45752,100,ng/ml,10,minute,pJnk,79.162
50576-2,184B5,200862,NGF-beta,46052,1,ng/ml,30,minute,pJnk,70.208
50576-2,184B5,200862,NGF-beta,46040,100,ng/ml,30,minute,pJnk,76.696
50576-2,184B5,200862,NGF-beta,46115,1,ng/ml,90,minute,pJnk,76.315
50576-2,184B5,200862,NGF-beta,46103,100,ng/ml,90,minute,pJnk,57.185
50576-2,184B5,200862,NGF-beta,45459,1,ng/ml,10,minute,pP38,199.510
50576-2,184B5,200862,NGF-beta,45507,100,ng/ml,10,minute,pP38,206.470
50576-2,184B5,200862,NGF-beta,45523,1,ng/ml,30,minute,pP38,199.182
50576-2,184B5,200862,NGF-beta,45451,100,ng/ml,30,minute,pP38,189.099
50576-2,184B5,200862,NGF-beta,45583,1,ng/ml,90,minute,pP38,192.710
50576-2,184B5,200862,NGF-beta,45603,100,ng/ml,90,minute,pP38,200.454
50576-2,184B5,200857,PDGF-BB,45272,1,ng/ml,10,minute,pAkt,446.254
50576-2,184B5,200857,PDGF-BB,45164,100,ng/ml,10,minute,pAkt,422.037
50576-2,184B5,200857,PDGF-BB,45008,1,ng/ml,30,minute,pAkt,430.808
